0: 751,408,597,558,1219,496,540
1: 1174,1032,1168,915,487,372
2: 724,104,557,461,1133,1075
3: 85,763,760,757,75,504,603
4: 548,1204,712,968,617,526
5: 650,942,844,1017
6: 716,377,172,290,566,988
7: 702,913,361,442,351,220
8: 18,590,653,121,948
9: 893,543,1114,1088,54
10: 1040,207,252,684,891,516,723,370
11: 981,529,609,762,807,559
12: 722,749,101,569
1214: 753,498,586,348,608,677
14: 244,324,1015,870,1056
15: 46,143,28,257,799,236,872
16: 736,842,66,38
17: 164,35,1145,853,1096,1046
18: 8,590,184,874
19: 609,908,762,188,79,794
20: 299,914,122,549,475,234
21: 1011,106,172,674,329,566
22: 141,894,1137,1169,1109,427
23: 206,754,1004,945,795,822
24: 1124,643,568,517,73,971,740
25: 1203,872,476,305,1131,679
26: 165,261,1111
27: 629,747,170,604,32
28: 85,143,15,1203,872,706
29: 484,1029,1187,965,232,424
30: 1085,284,181,927,980,782
31: 464,981,181,727,312,1085
32: 604,296,170,784,27
33: 1160,794,762,807,226,828
34: 789,80,571,925,210,1013
35: 17,164,1077,1191,514,298,853
36: 227,835,683
37: 1184,512,1068,861,1095
38: 66,1215,16,585,1175
39: 921,190,259,148
40: 825,737,1086,1162,360,834
41: 1071,446,398,890,1105
42: 288,934,1090,238,242,310
43: 271,531,541,946,958
44: 112,458,358,103
45: 743,1033,1010,509,840,275,414
46: 143,763,15,947,799,957
47: 1035,944,911,1205,374,574,413
48: 742,160,1041,109,611
49: 501,832,1098,1057,270,285
50: 233,224,767,877,303,235
51: 303,1113,1126,1062,1005
52: 274,557,966,721,755,129
53: 231,481,59,255,195,1045
54: 163,1088,9,543,1217
55: 297,686,620,188,1160,794
56: 995,1107,73,233,235,976,1043
57: 816,579,991,883,1204,712
58: 641,496,341,713,878,759
59: 678,263,255,53,847,1045
60: 392,116,777,113
61: 494,281,402,69,982
62: 859,1181,94,979
63: 790,854,393,246,669,612
64: 605,915,487,96,448,383
65: 226,833,316,1058,495,1121
66: 1215,280,38,16
67: 390,115,161,1069,1081,814,770
68: 797,864,229,186,1209,694
69: 728,578,168,61,281
70: 119,266,381,1076,1163,761
71: 1112,223,180,1056,1093,244,519
72: 820,860,319,422,570,486
73: 995,1107,56,971,233,24,568
74: 970,1197,160,384,1019
75: 745,757,711,3,504,603
76: 949,964,1080,150,480
77: 300,694,797
78: 399
79: 188,1153,413,1205,908,19
80: 789,34,1157,1161,809,571
81: 301,922,602,308,588
82: 631,1007,561,245,621,941
83: 595,689,1154,574,268,944
84: 904,720,628,622,678,263
85: 143,763,28,3,504,706
86: 753,498,836,309
87: 147,640,225,696,701,1060
88: 931,987,482,1105,1137,1109
89: 1014,877,775,346,515,1062
90: 91,547,373,191
91: 90,176,547,373,191,221,214,222
92: 1129,693,139,518,973
93: 1218,493,921
94: 412,979,554,1181,62
95: 124,606,984,418,771
96: 745,711,605,64,383,416,576
97: 355,829,1141,788,1099,489
98: 396,816,548,1204
99: 786,909,194,333,1024,330
100: 972,232,211,484,889
101: 12,722,749,774,691,1077,569,853
102: 152,791,278,464,529,940
103: 358,586,458,44,667,511
104: 724,544,2,1097,1133,1196
105: 382,453,615,335,1036
106: 21,1011,162,566,824,1116,1123
107: 537,748,437,1138
108: 888,882,479,524,612,1070
109: 459,469,633,1041,48,611
110: 1174,1032,1107,1043,1139,849
111: 752,776,174
112: 520,458,44,261
113: 174,777,60
114: 972,232,750,928,424,530
115: 1093,67,390,161,770,1056
116: 1018,1190,729,392,60
117: 477,726,937,885,826
118: 916,330,158,593,284,917
119: 70,266,1151,408,761,341
120: 192,342,880,239,545,768,253
121: 948,8,1165
122: 599,885,549,20,475,216
123: 898,516,397,159,207,407,169
124: 606,95,984,418,771,790,801
125: 271,805,362,956,902,480
126: 192,1210,768,439,593,917
127: 349,962,397,139,159,693
128: 552,977,687,336,1001,935,130,1078,522,1208
129: 755,243,966,1083,274,52
130: 1078,522,336,128
131: 954,1021,198,904,564,735
132: 707,378,1159,780
133: 671,714,1053,385,293,670
134: 307,583,1061,803,649,435
135: 421,422,308
136: 655,652,541,946
137: 861,1211,982,906,335
138: 539,536,477,937
139: 127,397,92,693,973,407
140: 368,1073,978,142,983,343
141: 22,894,1042,500,703,1137
142: 302,978,553,1122,140,368,983
143: 46,85,763,28,15
144: 950,626,475,216,429,353
145: 400,277,187,970
146: 723,509,840,901,684,1065,645
147: 640,87,610,1034,1060
148: 851,259,39,387
149: 247,773,527,830,1100,314
150: 902,480,322,338,76,1080
151: 365,319,1118,153
152: 102,312,910,879,791,253,464
153: 734,1084,1118,151,319,820
154: 668,306,503,875,562
155: 820,860,734,1036,989
156: 1189,1023,334,998,720,198
157: 382,453,594,177,286,359
158: 916,118,284,451,938,927
159: 127,349,397,207,499,123
160: 742,657,48,715,1019,74
161: 67,390,115,1081,201,287
162: 566,988,106,824,538
163: 803,447,649,54,1088,1217,690
164: 17,35,1191,1145,733
165: 26,261,598,831,520
166: 1218,293,963,265,493
167: 716,377,217,326,215,607,430
168: 380,497,648,578,69,281
169: 407,171,397,898,1194,516,123
170: 676,919,1158,27,32
171: 407,169,245,1194,485,621
172: 716,856,6,329,566,21
173: 1145,1027,811,839,470,827
174: 113,317,777,776,111
175: 346,515,1126,1148,1016,1030,405,943
176: 91,547,756,214,1014,775,222
177: 594,664,248,157,453
178: 430,667,344,831,326,520,458
179: 546,852,327,778,323
180: 1112,71,223,627,1079,798
