0: 408,751,597,558,496,540
1: 487,915,1064,1168,1154,448
2: 724,104,461,298,426
3: 504,15,46,760,763,1050
4: 617,526,968,913,548,712
5: 650,942,953,844
6: 988,566,377,290,172,716
7: 442,337,587,730,361,572
8: 18,590,1228,653,121
9: 1114,1127,543,1223,803,163
10: 509,1040,891,898,171,1004,821
11: 940,19,529,981,33,762
1209: 186,314,1055,773,345,694
1214: 753,498,348,586,677,608
1235: 578,402,989,906,155,105
15: 3,504,143,46,872,85
16: 736,38,842,66
17: 470,164,986,1145,35
18: 8,590,874
19: 940,908,11,79,762,794
20: 299,1009,122,549,475,914
21: 394,172,674,542,566
22: 123,159,139,962,1109,427
23: 424,928,945,754,965,795
24: 568,643,517,971,1124,740,1078
25: 1203,476,305,758,679
26: 165,261,1061,1155
27: 604,1220,32,170,629,747
28: 504,1203,85,742,633,706
29: 484,619,100,1029,232,424
30: 917,284,126,439,1210,727
31: 152,529,727,917,181,981
32: 604,296,27,170,784,919
33: 866,762,11,807,833,559,981
34: 292,210,925,789,983,804
35: 1145,876,17,986,1075,434
36: 227,671,683,1017,835
37: 783,811,861,512
38: 736,16,585,66,1215,1221
39: 921,190,259,148
40: 238,992,360,356,832
41: 446,1161,660,890,987,1105
42: 288,1054,934,242,310
43: 271,531,541,946,958
44: 358,103,112,458
45: 743,1033,840,723,474,1010
46: 1006,143,847,763,3,15
47: 268,574,1205,689,1035,944
48: 633,642,459,657,468,109
49: 356,1090,398,501,446,285
50: 1014,1016,1077,222,303,56,1043
51: 235,1113,303,1005,89,877
52: 966,1224,806,728,129,697
53: 897,622,481,1021,865,255
54: 669,524,738,1088,1217,1236
55: 866,762,686,794,620,1018
56: 976,1043,1014,50,1107,1174
57: 883,1178,204,579,1204,816
58: 341,496,878,641,759,713
59: 799,924,622,947,796
60: 116,174,1101,1091,777
61: 281,982,402,168,380
62: 1181,94,979,859
63: 393,612,888,242,250,825
64: 406,279,448,487,96,383
65: 807,833,316,495,226,1121
66: 1215,280,16,38
67: 1180,350,1246,1003
68: 993,311,694,1055,77,300
69: 467,734,613,806,697,989
70: 513,761,1106,381,119,1177
71: 1057,1056,1093,180,1015,1112
72: 365,422,319,570,1036,486
73: 1107,971,233,1032,525,1139
74: 970,220,187,384,611,160
75: 760,757,1050,1197,605,603
76: 949,480,601,964,1080,150
77: 797,1055,68,300
78: 399,1228,455
79: 1153,413,1190,908,19,794
80: 182,824,571
81: 308,602,301,922
1231: 386,822,867,647,247
1167: 225,1110,1100,1185,936,527
84: 904,628,263,678,249,564
85: 1203,476,872,504,15,28
86: 836,309,753,498
87: 147,640,1034,451,696
88: 987,931,272,1129,1171,1120
89: 1186,1126,515,1005,51,1113
1218: 1244,265,493,166,93
91: 1081,221,390,1072,974,1047,161,798
92: 693,127,973
93: 190,493,203,1244,1218,921
94: 282,979,412,554,62,1181
95: 606,771,984,528
96: 487,488,711,605,64,383
97: 355,985,788,639
98: 396,548,1204,816,213
99: 927,118,593,333,194,786
100: 484,29,211,1179,232,972
101: 1083,1069,1063,201,221,1148
102: 152,529,910,278,940,374
103: 358,586,44,458,511,667
104: 724,950,544,933,2
105: 906,453,155,335,1235
106: 394,1011,566,162,182
107: 1138,437,1118,537
108: 882,250,669,246,625,612
109: 1225,384,611,48,459,657
1196: 952,258,1246,1097,350
111: 392,295,113,752
112: 520,458,261,44
113: 116,729,295,111,1091,752
114: 232,972,875,928,750,530
115: 1093,770,692,1069,1162,1072
116: 60,729,113,1018,634
117: 477,726,937,826
118: 927,99,1135,593,786,1110,916
119: 381,266,408,1164,70,761
1176: 554,731,588,328
121: 710,1240,653,8,1228,948
122: 599,885,549,20,216,475
123: 127,159,207,22,139
124: 606,771,418,539,801,829
125: 956,362,480,902,271,805
126: 30,284,1024,439,927,593
127: 123,207,139,92,693,973,397,516
1238: 601,964,787,997
129: 243,728,52,1224,274,557
1217: 163,1236,410,543,738,54
131: 954,683,198,904,720,843
132: 780,452,1159,707
133: 1131,1188,293,670
134: 307,273,649,690,583,435
135: 421,570,308
136: 655,541,946
137: 861,1211,494,906,335,982
138: 418,539,536,477
139: 127,123,22,1117,962,693
140: 368,725,142,197,343
1247: 1136,153,365,319
142: 983,725,978,553,368,140
143: 1006,46,678,249,872,15
144: 216,626,475,429,950,353
145: 190,400,203,970,187,277
146: 723,901,675,645,810,840,1065
147: 640,87,610,1034,575,700
148: 851,39,259,387
149: 936,527,1140,314,773
150: 322,338,902,76,480,1080
1182: 707,1159,378,332
152: 31,529,102,312,727,1210,910,192
153: 1136,1247,319,613
154: 306,1239,889,503,875
155: 105,734,820,989,1235
156: 334,998,198,1000,1189,1023
157: 1039,382,704,286
158: 451,938,916,1135,264,701
159: 123,207,22,427,1008
160: 442,587,611,74,220
161: 1030,798,1081,91,1062,1046
162: 538,988,566,106
163: 1217,410,9,543,803,1243
164: 470,17,733,755,648
165: 26,261,1061,598,831,520
166: 493,963,1241,670,1218,265
167: 716,856,217,430,326,377
168: 578,402,243,728,380,61
169: 397,516,898,171,561,407,621
170: 1158,919,629,27,32
171: 516,169,898,10,621,1004
172: 716,329,674,566,6,21
173: 1095,827,1184,1037,401
174: 317,1101,60,776,1234,777
175: 1163,1038,943,1126,515,405
176: 508,214,573,1030,1077,767,1016,224,517
177: 409,615,506,781,262,664
178: 430,326,831,520,458,667
179: 327,323,718,778,990,357
180: 1079,223,1015,71,627,1112,388
181: 833,981,917,31,782,316
182: 80,1122,106,1157
183: 892,665,746,425
184: 874,387,851,399
185: 196,535,503,415,886,1239
186: 314,1055,1209,229,830
187: 970,74,384,695,203,145
188: 1153,1190,991,1144,297,204
189: 895,949,306,562,857,362
190: 145,400,93,39,921,259
191: 848,691,923,1172,1068
192: 253,910,1085,618,1210,152
193: 1212,920,852,1170,327
194: 347,1024,534,454,333,99,593
195: 799,847,947,592,957,763
196: 535,185,237,682,503,1216
197: 364,1222,1221,140,343
198: 334,156,1189,720,131,954
199: 1045,796,930,967,235,1113
200: 976,1043,235,930,1019,1041
201: 1172,1063,1133,1150,101,1083
202: 1031,423,449,1079,466,460,388
203: 493,695,187,145,93
204: 57,883,1178,188,991,297
205: 792,653,354,1227,212,590
206: 823,584,463,462,510,945
207: 127,123,159,1008,516,1040
208: 1128,765,1066,1033,717,1052
209: 256,990,769,718,320,276
210: 292,1013,34,789,661,1129
211: 1146,680,484,100,1179
212: 617,526,205,354,1227,283
213: 617,548,396,98,283,363
214: 508,573,176,1096,1030,798,810,767
215: 325,663,813,607,856,217
216: 626,719,144,475,122,885
217: 856,167,873,607,215,326
1212: 920,359,193,1074,1170
219: 1241,385,679,469,963,793
220: 970,74,442,160,318,351
221: 1081,390,91,1072,101,1069,346,1148
222: 1077,877,775,1046,303,50,1016
223: 180,1079,1015,519,244,449
224: 1014,1016,573,176,568,517,971,233
225: 1167,550,1110,527,1060,345
226: 378,483,1121,807,65,828
227: 735,339,671,36,843,683
228: 267,709,560,672,420,1007
229: 652,186,655,864
230: 923,955,827,848,1038,1151
1234: 777,174,776,289
232: 114,972,29,100,424,928
233: 1107,73,971,1014,224,568,525
234: 914,429,966,1224,748,721
235: 51,1113,303,199,930,200,1043
236: 249,564,872,735,476,758
237: 196,535,682,841
238: 825,992,40,888,834,360
1177: 943,959,1106,70,865,1026
240: 912,673,1242,626,950,544
241: 857,956,871,386,647,637
242: 934,250,63,42,825,310
243: 728,129,557,168,755,380
244: 432,519,1137,580,223,1015
1166: 621,1152,975,1004,1130,521
246: 669,524,790,854,108,612
247: 647,1231,867,1140
248: 704,664,781,328,850
249: 564,236,872,84,143,678
250: 934,242,882,108,63,612
251: 302,978,375,836,899,567
252: 509,1040,1008,1042,684,1103
253: 910,977,192,1085,336,740,791,278
254: 647,637,1140,961,830
255: 759,257,53,481,1021
256: 769,209,320,953,998,650
257: 263,255,1021,1006,678
258: 774,952,1196,298,350
259: 379,387,190,400,39,148
260: 1170,440,778,589,597,1219
261: 26,165,112,520
262: 781,588,421,602,409,177
263: 759,713,257,84,628,678
264: 688,782,701,1135,980,284,158
265: 1218,670,166
266: 381,119,783,811,1095,1164
267: 732,228,709,1025,560,296
268: 47,574,791,1028,1147,689
269: 846,1229,343,523,364,1173
270: 814,501,1142,1086
271: 43,531,805,125,902
272: 88,1129,1120,1169,1102
273: 134,307,471,438,1061,583
274: 461,721,557,1224,129
1191: 1076,1148,1068,1063,1163,1186
276: 320,718,869,209
277: 379,970,145,400,318,411
278: 574,791,253,910,102,374
279: 64,406,1082,383,444,1059
280: 66,1215,1175,932
281: 61,450,380,648,391
282: 94,979,412,369,850,785
283: 838,617,212,213,1227,389
284: 980,917,30,126,927,1135,264
285: 1142,1071,49,501,446
286: 999,1074,157,382,359
1190: 79,1153,188,297,686,794
288: 42,1054,542,532,1123
289: 1237,1245,776,1234
290: 988,6,377,344,492,951
291: 1143,338,531,958
292: 1013,34,210,1117,804,1073
293: 1241,385,1188,133,670
1170: 440,778,260,1212,193,327
295: 635,376,729,113,111,392,752
296: 604,32,784,560,267,1025
297: 634,686,188,1190,1178,204
298: 426,514,258,774,2
299: 20,1009,537,549
300: 577,311,68,77
301: 81,602,478,922,588
302: 251,978,375,858,809
303: 235,51,222,877,50,1043
304: 318,411,351,702,792,354
305: 1188,758,1248,25,385
306: 154,668,1239,562,189,895
307: 134,273,649,563,425,438
308: 81,602,135,421
309: 836,899,86,842
310: 825,992,242,42,1123
311: 993,68,610,1034,300,577
312: 152,727,1210
1228: 8,78,121,1240,455
314: 186,1209,773,149,1140,830
315: 968,900,630,883,712,1204
316: 688,782,65,833,181,495
317: 174,1101,579,816,776
318: 304,411,351,970,220,277
319: 365,72,153,1247,1084
320: 276,256,209,650
1193: 404,1080,997,1192
322: 150,338,404,1080,505,1143
323: 179,327,718,546,869,994
1179: 889,1216,1146,211,100,972
325: 813,215,658,856,329,705
326: 178,430,831,873,167,217
327: 179,323,193,852,1170
328: 781,588,1176,248,412,850
329: 172,716,856,325,674,705
1186: 89,515,1163,1076,1005,1191
331: 1116,1123,1090,398,403
332: 392,635,1182
333: 507,454,194,786,1132,99
334: 942,953,998,156,198,954
335: 906,453,105,382,137,1211
336: 740,1078,1147,253,977,791
337: 7,587,1089,730,1207,576
338: 150,322,902,531,1143,291
339: 735,227,671,714,758,1248
340: 589,1119,512,1074,440
341: 58,496,878,408,761
1163: 175,848,1068,1191,1186,515
343: 269,1229,140,725,364,197
344: 511,492,667,430,377,290
345: 993,1060,694,527,225,1209,773
346: 1076,1062,1148,1081,221
347: 768,194,1024,433,819,534,454
348: 753,1214,358,586
1178: 57,204,579,634,297,1101
350: 1180,67,1196,258,774
351: 318,304,442,220,361,702
352: 1065,717,632,643,517,1128,1124
353: 721,144,429,724,950
354: 792,205,702,304,526,212
355: 985,97,834,1230,639,685
356: 1090,49,40,832,501
357: 990,769,1000,778,179,1219
358: 103,586,44,348
359: 1212,920,862,286,1074
360: 685,939,834,238,40
361: 702,913,572,442,7,351
