0: 408,751,558,58,540
1: 1168,681,1020,915,1198,487
2: 258,298,724,104,461,1300
3: 504,15,1050,763,760
4: 548,712,968,913,617,526
5: 650,942,953,844
6: 988,566,290,716,377
7: 442,337,587,730,361,572
8: 1267,874,590,653,121
9: 1127,307,543,1223,803,163
10: 1040,509,397,407,1029,1187,621
1280: 62,1181,94,859
1209: 864,314,773,186,1055,149,694
1214: 753,498,348,586,677,608
1235: 578,402,989,734,906,155
15: 3,504,249,872,85
16: 736,38,842,66
17: 986,470,164,434,191
1256: 1170,193,1282,1212,920,340
19: 940,374,31,278,568
20: 299,1009,122,549,475,914
21: 106,394,1250,674,329,566
1152: 621,684,941,1187,1130,521,616
23: 928,945,754,795,822
24: 224,1124,1147,1077,1128,740
25: 469,706,1203,305,219,385
26: 165,1061,1263,261
27: 604,784,1220,32,629,747
28: 1203,85,504,633,706
29: 996,965,619,424,1262
30: 126,917,284,593,118,927
31: 19,940,568,1058,762,529
32: 604,784,27,170,395,919,629
33: 55,529,65,226,376,866
34: 1297,80,571,661,1013,789
35: 1145,1302,1278,733,164
36: 671,227,683,1183,1017,835
37: 512,1288,137,861,494,839
38: 736,16,585,66,1215,1221
39: 921,190,259,148
40: 825,992,238,360,832,834
41: 446,1109,1094,551,1117
42: 934,288,1070,310
43: 271,531,541,946,958
44: 358,103,112,458
45: 208,1065,723,1194,1195,1002
46: 678,249,847,195,799,957
1295: 1105,482,1137
48: 657,1287,459,1225,109
49: 501,1283,814,356,446,285
50: 877,175,303,222,897,976
1270: 74,384,1275,695,1249,187
52: 966,1224,1104,806,129,697
53: 897,481,865,1301,759,799
54: 669,524,738,1088,1251,1217
55: 33,762,794,620,529,866
56: 855,1045,1059,1041,1028,1064,1304
57: 816,991,579,1213,883,1204
58: 878,496,0,641,540,713
1296: 513,1177,303,897,865
60: 1255,116,174,752,777
61: 1258,380,982,578,402,168
62: 1280,94,282,979,859
63: 242,612,238,393,985,888
64: 416,96,711,1089,383,448
65: 495,1058,33,1291,226
66: 1215,280,16,38
67: 876,774,1261,1246,457,692
68: 300,311,1055,993,694,77
69: 467,613,734,806,697,989
70: 381,266,119,1177
71: 1161,1057,1015,1063,202,627
72: 365,422,1268,1266,1084,319
73: 1028,1064,1174,1046,1032,1030
74: 1270,109,384,611,1249,160
1127: 9,307,1114,1111,1223
76: 949,480,964,1080,150
77: 797,1055,300,68
78: 399,1267,1228,455
1291: 483,226,1121,65,495,575
80: 34,1297,571,1253,1259
81: 308,602,922,301
1231: 386,795,822,647,247
1167: 786,1132,584,454,507,333,909
84: 263,904,628,678,249,564
85: 1203,476,28,872,504,15
86: 836,309,753,498
87: 815,624,610,696,451,1034
88: 1105,482,1102,1109,1117,1120
89: 1148,1191,1095,1005,1019
1218: 1244,265,166
91: 460,1096,1075,1150,466,810
1255: 116,1091,60,634,1018
93: 493,1275,1244,203,190,921
94: 282,412,554,1280,62,1181
95: 606,771,984,528
96: 1020,605,711,1089,448,64
97: 355,985,888,788,1284,639
98: 548,1204,213,816,317,396
99: 194,1024,333,786,1060
100: 484,424,211,1146,114,972
101: 1069,1003,1093,1142,1071,1056
1250: 21,394,674,288,532
103: 358,586,44,458,667,511
104: 724,544,933,1264,258,2
1269: 781,262,588,1039,248,328
106: 21,394,566,162,182,403
107: 1138,437,1118,537
108: 625,250,882,669,246,612
109: 1225,74,384,657,611,48
